Fecha;Petroleo;Gas;Oro;Plata
01-2022;85,53;4,33;1816,02;23,16
02-2022;95,76;4,66;1856,30;23,54
03-2022;115,59;4,88;1947,83;25,31
04-2022;105,78;6,53;1936,86;24,55
05-2022;112,37;8,14;1848,50;21,91
06-2022;120,08;7,67;1836,57;21,56
07-2022;108,92;7,26;1732,74;19,08
08-2022;98,60;8,79;1764,56;19,72
09-2022;90,16;7,76;1680,78;18,94
10-2022;93,13;5,62;1664,45;19,43
11-2022;91,07;5,28;1725,07;21,02
12-2022;80,90;5,50;1797,55;23,33
01-2023;83,09;3,27;1897,71;23,65
02-2023;82,71;2,38;1854,54;21,92
03-2023;78,53;2,30;1912,73;21,98
04-2023;84,11;2,16;1999,77;25,01
05-2023;75,70;2,15;1992,13;24,27
06-2023;74,89;2,18;1942,90;23,42
07-2023;80,10;2,55;1951,02;24,26
08-2023;86,16;2,58;1918,70;23,44
09-2023;94,00;2,64;1915,95;23,10
10-2023;91,06;2,99;1916,25;22,38
11-2023;83,18;2,71;1984,11;23,49
12-2023;77,86;2,53;2026,18;23,88
01-2024;80,23;3,18;2034,04;22,92
02-2024;83,76;1,72;2023,24;22,66
03-2024;85,45;1,50;2158,01;24,52
04-2024;90,05;1,60;2331,45;27,49
05-2024;82,00;2,13;2351,13;29,36
06-2024;82,56;2,51;2326,44;29,58
07-2024;85,30;2,08;2398,20;29,77
08-2024;80,86;1,99;2470,15;28,53
09-2024;74,29;2,25;2570,55;30,13
